date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2026-01-01,2,1,False,1,1,50.0,124.35,19.82,17.61,27.18,188.96,83.0,48500,264,False
2025-10-19,6,1,False,0,6,0.0,124.35,46.19,17.61,0.0,188.15,83.0,48500,265,False
2026-03-01,2,1,False,1,1,50.0,124.35,45.46,17.61,0.0,187.43,83.0,48500,266,False
2025-12-26,8,1,False,0,8,0.0,124.35,17.81,17.61,27.18,186.94,83.0,48500,267,False
2025-07-12,2,1,False,1,1,50.0,124.35,44.26,17.61,0.0,186.22,83.0,48500,268,False
2025-06-15,5,1,False,0,5,0.0,124.35,43.15,17.61,0.0,185.12,83.0,48500,269,False
2026-02-16,2,1,False,0,2,0.0,124.35,13.71,17.61,27.18,182.85,83.0,48500,270,False
2026-03-20,7,1,False,1,6,14.3,124.35,36.03,17.61,0.0,177.99,83.0,48500,271,False
2025-07-06,1,1,True,1,0,100.0,124.35,34.76,17.61,0.0,176.72,83.0,48500,272,False
2025-08-17,1,1,True,1,0,100.0,124.35,33.53,17.61,0.0,175.49,83.0,48500,273,False
2025-09-07,4,1,False,0,4,0.0,124.35,31.17,17.61,0.0,173.13,83.0,48500,274,False
2025-09-28,6,1,False,2,4,33.3,124.35,30.4,17.61,0.0,172.36,83.0,48500,275,False
2026-04-25,3,1,False,1,2,33.3,124.35,29.63,17.61,0.0,171.59,83.0,48500,276,False
2026-04-04,3,1,False,1,2,33.3,124.35,25.36,17.61,0.0,167.33,83.0,48500,277,False
2025-09-21,4,1,False,2,2,50.0,124.35,22.98,17.61,0.0,164.95,83.0,48500,278,False
2025-06-29,3,1,False,0,3,0.0,124.35,22.98,17.61,0.0,164.95,83.0,48500,279,False
2026-03-31,1,1,True,1,0,100.0,124.35,22.98,17.61,0.0,164.94,83.0,48500,280,False
2025-07-19,2,1,False,1,1,50.0,124.35,20.68,17.61,0.0,162.64,83.0,48500,281,False
2025-10-31,9,1,False,2,7,22.2,124.35,20.23,17.61,0.0,162.19,83.0,48500,282,False
2025-05-31,3,1,False,0,3,0.0,124.35,17.58,17.61,0.0,159.54,83.0,48500,283,False
2025-05-11,6,1,False,0,6,0.0,124.35,16.58,17.61,0.0,158.55,83.0,48500,284,False
2026-04-18,1,1,True,1,0,100.0,124.35,15.35,17.61,0.0,157.31,83.0,48500,285,False
2025-06-01,3,1,False,1,2,33.3,124.35,15.27,17.61,0.0,157.24,83.0,48500,286,False
2025-09-06,4,1,False,0,4,0.0,124.35,15.27,17.61,0.0,157.24,83.0,48500,287,False
2025-06-14,2,1,False,0,2,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,288,False
2025-09-20,2,1,False,0,2,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,289,False
2025-07-26,3,1,False,0,3,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,290,False
2025-08-31,1,1,True,1,0,100.0,124.35,11.26,17.61,0.0,153.22,83.0,48500,291,False
2026-01-25,4,1,False,0,4,0.0,124.35,10.49,17.61,0.0,152.45,83.0,48500,292,False
2025-11-22,3,1,False,0,3,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,293,False
2026-02-21,2,1,False,0,2,0.0,124.35,7.87,17.61,0.0,149.83,83.0,48500,294,False
2026-01-02,4,1,False,0,4,0.0,124.35,7.37,17.61,0.0,149.33,83.0,48500,295,False
2026-01-03,2,1,False,0,2,0.0,124.35,5.25,17.61,0.0,147.21,83.0,48500,296,False
2026-02-14,1,1,True,1,0,100.0,124.35,5.25,17.61,0.0,147.21,83.0,48500,297,False
2025-05-04,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,298,False
2025-10-05,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,299,False
2025-05-03,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,300,False
2025-12-20,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,301,False
2025-12-21,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,302,False
2026-01-10,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,303,False
2026-02-15,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,304,False
2025-08-16,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,305,False
2025-06-22,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,306,False
2025-08-30,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,307,False
2025-05-17,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,308,False
2025-05-18,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,309,False
2025-11-08,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,310,False
